Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie
1995-01-31,29.06,29.49,28.32,28.61
1995-02-28,28.28,30.29,28.28,30.08
1995-03-31,30.28,30.74,28.35,30.44
1995-04-30,30.34,30.34,29.02,29.93
1995-05-31,29.93,29.93,27.51,27.63
1995-06-30,27.38,27.8,26.95,27.68
1995-07-31,27.78,27.91,26.76,27.18
1995-08-31,27.46,27.46,26.57,26.58
1995-09-30,26.51,26.66,25.66,25.82
1995-10-31,25.68,25.9,25.43,25.66
1995-11-30,25.66,25.88,25.57,25.8
1995-12-31,25.8,25.8,25.39,25.54
1996-01-31,25.43,25.51,22.85,22.95
1996-02-29,22.91,22.91,22.55,22.67
1996-03-31,22.64,22.78,22.64,22.65
1996-04-30,22.66,23,22.6,22.87
1996-05-31,22.87,22.87,21.51,21.59
1996-06-30,21.59,21.94,21.56,21.63
1996-07-31,21.57,21.57,20.06,20.18
1996-08-31,20.71,20.71,19.15,19.46
1996-09-30,19.38,20.93,19.28,20.01
1996-10-31,19.84,20.02,19.48,19.76
1996-11-30,19.76,20.32,19.65,19.8
1996-12-31,19.78,23.24,19.78,22.43
1997-01-31,22.36,22.52,22.22,22.22
1997-02-28,22.33,22.72,22.33,22.55
1997-03-31,22.6,22.78,22.46,22.78
1997-04-30,22.87,22.96,22.53,22.96
1997-05-31,22.96,23.08,22.63,22.94
1997-06-30,22.84,22.84,22.56,22.73
1997-07-31,22.81,26.19,22.81,26.19
1997-08-31,26.42,26.42,25.06,25.8
1997-09-30,25.94,25.94,25.22,25.4
1997-10-31,25.39,25.44,25,25.23
1997-11-30,25.22,25.56,25.2,25.5
1997-12-31,25.47,26.28,25.44,26.28
1998-01-31,26.25,27.28,25.56,26.5
1998-02-28,26.25,26.25,24.29,24.89
1998-03-31,24.77,25.6,24.76,25.13
1998-04-30,25.08,25.08,23.74,23.74
1998-05-31,23.74,23.74,22.39,22.52
1998-06-30,22.4,22.4,21.88,22.15
1998-07-31,22.1,22.1,19.95,19.95
1998-08-31,19.8,20.55,19.45,20.26
1998-09-30,19.77,19.77,18.32,18.32
1998-10-31,18.3,18.3,17,17
1998-11-30,16.88,16.88,16.17,16.17
1998-12-31,16.11,16.11,15.81,15.86
1999-01-31,15.76,15.76,13.35,13.35
1999-02-28,13.28,13.28,13.18,13.18
1999-03-31,13.18,13.27,13.18,13.21
1999-04-30,13.22,13.28,13.19,13.28
1999-05-31,13.28,13.28,13.24,13.28
1999-06-30,13.29,13.32,13.29,13.31
1999-07-31,13.32,13.48,13.32,13.46
1999-08-31,13.47,13.82,13.47,13.62
1999-09-30,13.61,16.32,13.61,16.32
1999-10-31,16.32,17.46,16.02,17.42
1999-11-30,17.42,19.5,17.42,18.59
1999-12-31,18.64,19.61,18.64,19.5
2000-01-31,17.51,17.51,16.99,17.34
2000-02-29,17.25,18.59,17.25,18.59
2000-03-31,18.6,18.6,18.27,18.28
2000-04-30,18.28,18.52,18.22,18.52
2000-05-31,18.52,19.15,18.42,18.42
2000-06-30,18.42,18.75,18.35,18.6
2000-07-31,18.59,18.59,18.45,18.54
2000-08-31,18.64,19.77,18.61,19.63
2000-09-30,19.65,19.65,19.45,19.51
2000-10-31,19.5,19.93,19.5,19.82
2000-11-30,19.82,19.93,19.6,19.78
2000-12-31,19.88,19.89,19.44,19.45
2001-01-31,19.35,19.35,18.78,18.87
2001-02-28,18.84,18.84,18.29,18.29
2001-03-31,18.31,18.34,17.36,17.37
2001-04-30,17.38,17.39,16.3,17.15
2001-05-31,17.15,17.44,16.99,17.16
2001-06-30,17.08,17.12,16.04,16.09
2001-07-31,15.15,16.51,15.15,15.49
2001-08-31,15.55,15.57,15.11,15.18
2001-09-30,15.01,15.11,14.18,14.56
2001-10-31,14.5,14.5,13.53,13.84
2001-11-30,13.95,14.79,12.45,12.45
2001-12-31,12.13,13,11.85,11.91
2002-01-31,11.82,11.82,10.64,10.64
2002-02-28,10.81,11.09,10.22,10.22
2002-03-31,10.03,10.55,10.03,10.34
2002-04-30,10.32,10.32,10.04,10.1
2002-05-31,10.1,10.12,9.58,9.6
2002-06-30,9.6,9.66,8.97,8.97
2002-07-31,8.93,9.13,8.69,8.69
2002-08-31,8.65,8.66,8.33,8.33
2002-09-30,8.33,8.35,7.73,7.73
2002-10-31,7.68,7.68,7.02,7.02
2002-11-30,7.03,7.03,6.53,6.76
2002-12-31,6.7,7.05,6.64,6.87
2003-01-31,6.78,6.78,6.45,6.47
2003-02-28,6.44,6.51,6.26,6.27
2003-03-31,6.28,6.28,5.98,5.98
2003-04-30,5.97,6,5.69,5.69
2003-05-31,5.7,5.7,5.4,5.4
2003-06-30,5.4,5.42,5.32,5.32
2003-07-31,5.29,5.32,5.21,5.24
2003-08-31,5.23,5.25,5.1,5.14
2003-09-30,5.15,5.24,5.14,5.24
2003-10-31,5.27,5.86,5.26,5.86
2003-11-30,5.83,5.83,5.52,5.83
2003-12-31,5.86,5.89,5.58,5.6
2004-01-31,5.52,5.56,5.39,5.46
2004-02-29,5.5,5.5,5.4,5.5
2004-03-31,5.52,5.52,5.46,5.49
2004-04-30,5.5,5.85,5.5,5.85
2004-05-31,5.91,6.08,5.89,6
2004-06-30,5.95,6.05,5.8,6.05
2004-07-31,6.18,6.45,6.18,6.41
2004-08-31,6.41,7.02,6.4,7
2004-09-30,7.09,7.18,6.91,6.91
2004-10-31,6.92,6.94,6.83,6.84
2004-11-30,6.84,6.85,6.76,6.77
2004-12-31,6.76,6.8,6.64,6.64
2005-01-31,6.61,6.65,6.6,6.61
2005-02-28,6.6,6.61,6.31,6.31
2005-03-31,6.3,6.35,5.91,5.91
2005-04-30,5.89,5.91,5.59,5.59
2005-05-31,5.58,5.58,5.42,5.44
2005-06-30,5.28,5.32,4.9,4.9
2005-07-31,4.76,4.76,4.6,4.67
2005-08-31,4.66,4.7,4.61,4.61
2005-09-30,4.55,4.57,4.45,4.5
2005-10-31,4.51,4.62,4.51,4.62
2005-11-30,4.64,4.65,4.62,4.63
2005-12-31,4.65,4.65,4.56,4.6
2006-01-31,4.61,4.61,4.39,4.4
2006-02-28,4.34,4.34,4.16,4.16
2006-03-31,4.08,4.17,4.08,4.17
2006-04-30,4.18,4.18,4.11,4.13
2006-05-31,4.15,4.16,4.15,4.15
2006-06-30,4.14,4.23,4.13,4.21
2006-07-31,4.2,4.22,4.17,4.18
2006-08-31,4.2,4.21,4.18,4.19
2006-09-30,4.2,4.23,4.2,4.22
2006-10-31,4.22,4.24,4.2,4.21
2006-11-30,4.2,4.21,4.19,4.2
2006-12-31,4.2,4.21,4.19,4.2
2007-01-31,4.21,4.21,4.18,4.19
2007-02-28,4.18,4.22,4.18,4.22
2007-03-31,4.21,4.24,4.2,4.24
2007-04-30,4.24,4.4,4.24,4.4
2007-05-31,4.42,4.45,4.42,4.44
2007-06-30,4.44,4.71,4.44,4.71
2007-07-31,4.74,4.81,4.74,4.81
2007-08-31,4.82,5.03,4.81,5.03
2007-09-30,5.06,5.1,5.06,5.1
2007-10-31,5.09,5.21,5.09,5.21
2007-11-30,5.21,5.56,5.21,5.56
2007-12-31,5.59,5.73,5.59,5.7
2008-01-31,5.6,5.66,5.6,5.65
2008-02-29,5.65,5.94,5.65,5.94
2008-03-31,5.93,6.15,5.93,6.15
2008-04-30,6.18,6.34,6.18,6.34
2008-05-31,6.33,6.48,6.33,6.48
2008-06-30,6.51,6.65,6.51,6.65
2008-07-31,6.66,6.67,6.56,6.56
2008-08-31,6.55,6.55,6.46,6.5
2008-09-30,6.5,6.63,6.5,6.63
2008-10-31,6.67,6.87,6.67,6.85
2008-11-30,6.84,6.85,6.56,6.56
2008-12-31,6.55,6.55,5.86,5.88
2009-01-31,5.84,5.84,4.86,4.86
2009-02-28,4.8,4.8,4.51,4.51
2009-03-31,4.48,4.48,4.14,4.17
2009-04-30,4.16,4.3,4.14,4.3
2009-05-31,4.32,4.64,4.32,4.62
2009-06-30,4.62,4.65,4.44,4.44
2009-07-31,4.43,4.43,4.16,4.17
2009-08-31,4.16,4.18,4.15,4.18
2009-09-30,4.18,4.2,4.16,4.18
2009-10-31,4.18,4.19,4.18,4.18
2009-11-30,4.19,4.2,4.19,4.19
2009-12-31,4.19,4.27,4.19,4.27
2010-01-31,4.27,4.27,4.19,4.19
2010-02-28,4.2,4.2,4.14,4.15
2010-03-31,4.15,4.15,4.1,4.1
2010-04-30,4.05,4.05,3.86,3.86
2010-05-31,3.86,3.87,3.84,3.86
2010-06-30,3.86,3.87,3.84,3.87
2010-07-31,3.87,3.87,3.81,3.82
2010-08-31,3.81,3.82,3.8,3.81
2010-09-30,3.81,3.84,3.81,3.84
2010-10-31,3.84,3.86,3.82,3.85
