Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie
1995-01-31,28.58,29.2,27.88,27.88
1995-02-28,27.91,30.93,27.4,29.96
1995-03-31,30.15,30.49,28.3,30.28
1995-04-30,30.16,30.16,28.7,29.57
1995-05-31,29.57,29.57,27.33,27.51
1995-06-30,27.27,27.61,26.95,27.61
1995-07-31,27.8,27.95,26.85,27.26
1995-08-31,27.34,27.34,26.7,26.75
1995-09-30,26.77,26.83,25.73,25.95
1995-10-31,25.8,25.9,25.66,25.68
1995-11-30,25.68,25.79,25.67,25.79
1995-12-31,25.79,25.8,25.61,25.68
1996-01-31,25.61,25.62,22.96,23.15
1996-02-29,23.05,23.05,22.72,22.81
1996-03-31,22.83,22.92,22.77,22.92
1996-04-30,22.93,23.12,22.88,22.94
1996-05-31,22.94,22.94,21.61,21.68
1996-06-30,21.67,22.61,21.6,21.67
1996-07-31,21.64,21.64,19.99,20.29
1996-08-31,20.87,20.89,18.98,19.29
1996-09-30,19.23,21.43,19.23,20.15
1996-10-31,19.92,20.1,19.32,19.66
1996-11-30,19.66,20.15,19.47,19.65
1996-12-31,19.77,25.16,19.77,22.2
1997-01-31,22.34,22.54,21.95,22.12
1997-02-28,22.23,22.93,22.23,22.48
1997-03-31,22.62,23.03,22.38,23.03
1997-04-30,23.04,23.4,22.47,23.4
1997-05-31,23.4,23.83,22.62,23.31
1997-06-30,22.85,22.96,22.52,22.96
1997-07-31,23,25.98,23,25.98
1997-08-31,26.2,26.2,24.5,25.62
1997-09-30,25.6,25.6,24.76,25.05
1997-10-31,25.06,25.07,24.66,25.04
1997-11-30,24.91,25.71,24.88,25.39
1997-12-31,25.41,26.43,25.27,26.43
1998-01-31,26.36,27.34,25.39,26.55
1998-02-28,26.18,26.18,24.1,24.89
1998-03-31,24.72,25.85,24.7,25
1998-04-30,24.94,24.94,23.62,23.62
1998-05-31,23.62,23.62,22.49,22.63
1998-06-30,22.45,22.6,21.99,22.42
1998-07-31,22.28,22.28,19.9,19.9
1998-08-31,19.72,21.24,19.51,20.3
1998-09-30,19.74,19.74,18.46,18.48
1998-10-31,18.51,18.76,17.7,17.7
1998-11-30,17.52,17.52,17.32,17.39
